title,price,url,image_url
"WE LOVE
BALENCIAGA
Hourglass leather handbag
4.859 DKK
France",4.859 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-hourglass-balenciaga-handbag-64980001.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-hourglass-balenciaga-handbag-64980001-1_3.jpg"
"WE LOVE
BALENCIAGA
Crush leather handbag
11.947 DKK
11.062 DKK
Italy",DKK 11.062,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-crush-balenciaga-handbag-64727293.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-crush-balenciaga-handbag-64727293-1_2.jpg"
"WE LOVE
BALENCIAGA
Le Cagole patent leather handbag
6.992 DKK
5.576 DKK
Italy",DKK 5.576,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-patent-leather-le-cagole-balenciaga-handbag-64179350.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-patent-leather-le-cagole-balenciaga-handbag-64179350-1_3.jpg"
"BALENCIAGA
City leather handbag
8.407 DKK
France",8.407 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-city-balenciaga-handbag-65176192.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-city-balenciaga-handbag-65176192-1_3.jpg"
"BALENCIAGA
Ville Top Handle leather handbag
5.131 DKK
France",5.131 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/white-leather-ville-top-handle-balenciaga-handbag-65159094.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-leather-ville-top-handle-balenciaga-handbag-65159094-1_1.jpg"
"BALENCIAGA
Ville Day leather crossbody bag
3.540 DKK
Ireland",3.540 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-ville-day-balenciaga-handbag-65201048.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-ville-day-balenciaga-handbag-65201048-1_3.jpg"
"BALENCIAGA
Le Cagole leather handbag
7.876 DKK
Italy",7.876 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-le-cagole-balenciaga-handbag-65148939.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-le-cagole-balenciaga-handbag-65148939-1_2.jpg"
"BALENCIAGA
Hourglass handbag
3.717 DKK
3.009 DKK
France",DKK 3.009,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/pink-synthetic-hourglass-balenciaga-handbag-65146167.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/pink-synthetic-hourglass-balenciaga-handbag-65146167-1_4.jpg"
"WE LOVE
BALENCIAGA
Hourglass leather handbag
5.797 DKK
5.664 DKK
Belgium",DKK 5.664,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-hourglass-balenciaga-handbag-64729381.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-hourglass-balenciaga-handbag-64729381-1_3.jpg"
"BALENCIAGA
Neo Classic leather handbag
5.799 DKK
France",5.799 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/green-leather-neo-classic-balenciaga-handbag-64793034.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-leather-neo-classic-balenciaga-handbag-64793034-1_1.jpg"
"VINTAGE
WE LOVE
BALENCIAGA
Neo Classic leather handbag
5.753 DKK
France",5.753 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-neo-classic-balenciaga-handbag-64748770.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-neo-classic-balenciaga-handbag-64748770-1_2.jpg"
"WE LOVE
BALENCIAGA
Panier cloth handbag
4.425 DKK
4.248 DKK
Italy",DKK 4.248,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/multicolour-cloth-panier-balenciaga-handbag-64925154.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/multicolour-cloth-panier-balenciaga-handbag-64925154-1_2.jpg"
"BALENCIAGA
City leather handbag
3.363 DKK
France",3.363 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/grey-leather-city-balenciaga-handbag-65113160.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-leather-city-balenciaga-handbag-65113160-1_2.jpg"
"BALENCIAGA
City leather handbag
5.576 DKK
Czech Republic",5.576 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/blue-leather-city-balenciaga-handbag-65199008.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/blue-leather-city-balenciaga-handbag-65199008-1_2.jpg"
"WE LOVE
BALENCIAGA
Neo Cagole City leather handbag
6.850 DKK
Italy",6.850 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-neo-cagole-city-balenciaga-handbag-64623794.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-neo-cagole-city-balenciaga-handbag-64623794-1_2.jpg"
"VINTAGE
WE LOVE
BALENCIAGA
City leather handbag
4.859 DKK
4.372 DKK
Denmark",DKK 4.372,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-city-balenciaga-handbag-64931183.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-city-balenciaga-handbag-64931183-1_2.jpg"
"BALENCIAGA
Le Cagole leather handbag
9.455 DKK
Poland",9.455 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-le-cagole-balenciaga-handbag-65186027.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-le-cagole-balenciaga-handbag-65186027-1_2.jpg"
"WE LOVE
BALENCIAGA
Neo Classic leather handbag
8.407 DKK
Spain",8.407 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-neo-classic-balenciaga-handbag-64880502.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-neo-classic-balenciaga-handbag-64880502-1_3.jpg"
"BALENCIAGA
Hourglass leather crossbody bag
6.947 DKK
5.930 DKK
Spain",DKK 5.930,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-hourglass-balenciaga-handbag-64467983.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-hourglass-balenciaga-handbag-64467983-1_2.jpg"
"VINTAGE
BALENCIAGA
City leather tote
3.418 DKK
Germany",3.418 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-city-balenciaga-handbag-65262648.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-city-balenciaga-handbag-65262648-1_2.jpg"
"WE LOVE
BALENCIAGA
Neo Cagole City leather handbag
7.611 DKK
Belgium",7.611 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/pink-leather-neo-cagole-city-balenciaga-handbag-64989204.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/pink-leather-neo-cagole-city-balenciaga-handbag-64989204-1_3.jpg"
"VINTAGE
BALENCIAGA
XX Hobo leather handbag
1.505 DKK
Italy",1.505 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/brown-leather-xx-hobo-balenciaga-handbag-65130158.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-xx-hobo-balenciaga-handbag-65130158-1_3.jpg"
"WE LOVE
BALENCIAGA
Souvenir XS cloth crossbody bag
2.655 DKK
Italy",2.655 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/brown-cloth-souvenir-xs-balenciaga-handbag-64725200.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-cloth-souvenir-xs-balenciaga-handbag-64725200-1_4.jpg"
"BALENCIAGA
City leather handbag
6.551 DKK
Sweden",6.551 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/navy-leather-city-balenciaga-handbag-65284937.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/navy-leather-city-balenciaga-handbag-65284937-1_2.jpg"
"WE LOVE
BALENCIAGA
Leather tote
6.089 DKK
Italy",6.089 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-balenciaga-handbag-64354456.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-balenciaga-handbag-64354456-1_2.jpg"
"WE LOVE
BALENCIAGA
Hourglass leather handbag
8.761 DKK
5.974 DKK
France",DKK 5.974,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-hourglass-balenciaga-handbag-64984962.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-hourglass-balenciaga-handbag-64984962-1_2.jpg"
"WE LOVE
BALENCIAGA
Courier XL leather crossbody bag
2.655 DKK
Italy",2.655 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/green-leather-courier-xl-balenciaga-handbag-64881588.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-leather-courier-xl-balenciaga-handbag-64881588-1_3.jpg"
"BALENCIAGA
Hourglass leather handbag
3.983 DKK
3.142 DKK
Italy",DKK 3.142,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/white-leather-hourglass-balenciaga-handbag-64661802.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-leather-hourglass-balenciaga-handbag-64661802-1_2.jpg"
"WE LOVE
BALENCIAGA
Le Cagole leather handbag
6.391 DKK
Romania",6.391 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/grey-leather-le-cagole-balenciaga-handbag-64860248.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-leather-le-cagole-balenciaga-handbag-64860248-1_2.jpg"
"BALENCIAGA
Leather handbag
1.673 DKK
1.505 DKK
Portugal",DKK 1.505,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-balenciaga-handbag-65249025.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-balenciaga-handbag-65249025-1_2.jpg"
"WE LOVE
BALENCIAGA
City leather handbag
13.275 DKK
9.235 DKK
Spain",DKK 9.235,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-city-balenciaga-handbag-64918491.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-city-balenciaga-handbag-64918491-1_2.jpg"
"WE LOVE
BALENCIAGA
Pompon leather handbag
4.337 DKK
Italy",4.337 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/grey-leather-pompon-balenciaga-handbag-65054413.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-leather-pompon-balenciaga-handbag-65054413-1_2.jpg"
